raMean,decMean,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
356.96364603,-30.48452615,21.321300506591797,0.008205000311136246,20.896900177001953,0.08103100210428238,20.72599983215332,0.1127920001745224
357.03253924,-30.53268512,21.575899124145508,0.03415299952030182,20.8882999420166,0.029666999354958534,20.60460090637207,0.0562409982085228
357.0207428,-30.53509571,18.046600341796875,0.006527000106871128,17.314899444580078,0.005735999904572964,17.016599655151367,0.006984999869018793
357.02757021,-30.50466902,21.49970054626465,0.21838900446891785,21.06209945678711,0.047979000955820084,20.76420021057129,0.07123299688100815
357.03110146,-30.50564311,21.424400329589844,0.15010599792003632,21.335899353027344,0.15376999974250793,20.536800384521484,0.1709430068731308
357.23601628,-30.63122811,20.54439926147461,0.2580679953098297,20.429100036621094,0.07277300208806992,20.136600494384766,0.026635000482201576
357.22950629,-30.62717913,20.268600463867188,0.0,20.507999420166016,0.05222700163722038,20.57270050048828,0.0668720006942749
357.3248762,-30.49140981,20.98780059814453,0.09186200052499771,20.388599395751953,0.047276999801397324,20.13789939880371,0.06872200220823288
357.32294501,-30.49189394,20.23240089416504,0.0847340002655983,20.65839958190918,0.023744000121951103,20.50149917602539,0.03772599995136261
357.33258623,-30.50001893,21.052000045776367,0.11996100097894669,20.751699447631836,0.11016499996185303,20.021299362182617,0.1912190020084381
357.33215611,-30.50029133,21.095800399780273,0.021042000502347946,20.635400772094727,0.028364000841975212,20.559499740600586,0.009855999611318111
357.33175289,-30.4970992,21.887699127197266,0.3991900086402893,20.731000900268555,0.07186400145292282,20.690900802612305,0.1691100001335144
357.30019768,-30.49240974,21.569299697875977,0.01675800047814846,20.8302001953125,0.028602000325918198,20.686199188232422,0.0671909973025322
357.48770767,-31.20411157,20.295400619506836,0.08654800057411194,19.905399322509766,0.017077000811696053,19.785400390625,0.09090600162744522
357.49735136,-31.20457658,20.95009994506836,0.1110759973526001,20.695600509643555,0.08918599784374237,20.376699447631836,0.14690999686717987
356.93853363,-30.98151025,20.27790069580078,0.03654100000858307,19.796100616455078,0.025608999654650688,19.528099060058594,0.01069399993866682
357.38372236,-31.24184759,18.569299697875977,0.019929999485611916,17.559600830078125,0.004474000073969364,17.121999740600586,0.0033209999091923237
357.37090152,-31.24714246,19.84160041809082,0.07729800045490265,18.204700469970703,0.005177000071853399,17.450599670410156,0.0008750000270083547
357.39833906,-31.24949471,20.97100067138672,0.012590000405907631,20.56529998779297,0.030936000868678093,20.32550048828125,0.15641799569129944
357.39945045,-31.26681964,20.445600509643555,0.09407699853181839,20.959800720214844,0.04849199950695038,20.607099533081055,0.01681699976325035
357.38772573,-31.25371814,20.716899871826172,0.14778900146484375,20.748600006103516,0.04393700137734413,20.616100311279297,0.06765799969434738
357.36192694,-31.25323028,21.196199417114258,0.18785899877548218,20.524700164794922,0.03597399964928627,19.990999221801758,0.04740900173783302
357.39900155,-31.28700983,20.045299530029297,0.0,20.767499923706055,0.026562999933958054,20.17799949645996,0.12397100031375885
357.29433147,-31.06433526,20.82159996032715,0.07465700060129166,20.327899932861328,0.032979000359773636,20.059799194335938,0.15971800684928894
357.29078354,-31.07110094,19.97010040283203,0.04661700129508972,18.777799606323242,0.011363999918103218,18.26099967956543,0.08780500292778015
357.26802872,-31.10749039,20.6427001953125,0.03712699934840202,20.284400939941406,0.028201999142766,19.97170066833496,0.2538039982318878
356.62816507,-31.0823161,20.295299530029297,0.08750800043344498,20.20240020751953,0.027435999363660812,20.429899215698242,0.13169999420642853
356.62412411,-31.09414292,18.423200607299805,0.005332000087946653,17.61479949951172,0.005115999840199947,17.23819923400879,0.006941999774426222
357.43583256,-30.67131858,16.885700225830078,0.004422000143676996,16.804000854492188,0.004137000069022179,16.805299758911133,0.0023350000847131014
357.41831558,-30.65681539,21.4552001953125,0.159403994679451,21.321199417114258,0.11208000034093857,20.866199493408203,0.03990500047802925
357.42156911,-30.66025878,19.525699615478516,0.014433000236749649,19.411100387573242,0.01508300006389618,19.42329978942871,0.022210000082850456
357.42472287,-30.6642048,21.41950035095215,0.08602900058031082,20.969600677490234,0.04658599942922592,20.681800842285156,0.09305699914693832
357.42954957,-30.67109087,18.615999221801758,0.003531999886035919,18.104299545288086,0.028258999809622765,17.954500198364258,0.026677999645471573
357.42748479,-30.6520613,19.435699462890625,0.059018999338150024,19.37070083618164,0.00672199996188283,19.09000015258789,0.049059998244047165
357.20249517,-30.8209291,20.211700439453125,0.0030529999639838934,19.533899307250977,0.016181999817490578,19.408700942993164,0.037714000791311264
357.20448417,-30.82927704,21.757999420166016,0.17814399302005768,20.578699111938477,0.039246998727321625,19.9281005859375,0.04197400063276291
357.21793045,-30.82153424,19.91659927368164,0.041912999004125595,19.75629997253418,0.014562999829649925,19.61210060119629,0.014371000230312347
357.20768262,-30.8230443,20.97010040283203,0.06926199793815613,20.56220054626465,0.037925999611616135,20.524200439453125,0.0705450028181076
357.21333985,-30.81351367,21.832500457763672,0.19760599732398987,21.049100875854492,0.027667000889778137,21.0531005859375,0.20375899970531464
357.21063351,-30.81637723,20.69230079650879,0.0076430002227425575,21.046100616455078,0.0703900009393692,20.943500518798828,0.18205299973487854
356.84346302,-30.83785213,21.31369972229004,0.047885000705718994,20.653900146484375,0.04557399824261665,20.170299530029297,0.058180999010801315
